order_num,order_ln,date,price,qty,discount,product_code,brand_code,customer_code,cost
1001,1,2022-06-05,50,1,0%,PR0001,BR01,99,32
1002,1,2022-06-05,30,2,0%,PR0002,BR01,,12.5
1003,1,2022-06-06,25,1,0%,PR0003,BR02,,10
1004,1,2022-06-06,35,1,0%,PR0001,BR01,150,32
1005,1,2022-06-06,25.5,3,10%,PR0004,BR03,,11
1005,2,2022-06-06,16.9,1,0%,PR0005,BR02,,8
1005,3,2022-06-06,27,1,0%,PR0001,BR01,,32
1006,1,2022-06-07,95,2,5%,PR0004,BR03,215,11
1007,1,2022-06-08,16,1,0%,PR0006,BR04,99,8.5
1007,2,2022-06-08,22,1,0%,PR0002,BR01,99,12.5
